Pro Team Name,Abbrev_sportsipy,Abbrev
Arizona Cardinals,CRD,ARI
Atlanta Falcons,ATL,ATL
Baltimore Ravens,RAV,BAL
Buffalo Bills,BUF,BUF
Carolina Panthers,CAR,CAR
Chicago Bears,CHI,CHI
Cincinnati Bengals,CIN,CIN
Cleveland Browns,CLE,CLE
Dallas Cowboys,DAL,DAL
Denver Broncos,DEN,DEN
Detroit Lions,DET,DET
Green Bay Packers,GNB,GB
Houston Texans,HTX,HOU
Indianapolis Colts,CLT,IND
Jacksonville Jaguars,JAX,JAX
Kansas City Chiefs,KAN,KC
Las Vegas Raiders,RAI,OAK
Los Angeles Chargers,SDG,LAC
Los Angeles Rams,RAM,LAR
Miami Dolphins,MIA,MIA
Minnesota Vikings,MIN,MIN
New England Patriots,NWE,NE
New Orleans Saints,NOR,NO
New York Giants,NYG,NYG
New York Jets,NYJ,NYJ
Philadelphia Eagles,PHI,PHI
Pittsburgh Steelers,PIT,PIT
San Francisco 49ers,SFO,SF
Seattle Seahawks,SEA,SEA
Tampa Bay Buccaneers,TAM,TB
Tennessee Titans,OTI,TEN
Washington Football Team,WAS,WSH
